ECP,RC,MIN,MAX,MEAN,START,END,DURATION,CV,A1,A2,A3,A4,FP,FP_LG,FP_KNN,FP_SVM,VERDICT
3005FB63AC1F3681EC88149032,2,-56.5,-52.5,-54.5,1581414923047021,1581414923147669,100648,-0.03669724770642202,2,0,0,0,0,0,0,0,0
90134BC1F1CE3781AEA1001925,1,-62.0,-62.0,-62.0,1581420219196787,1581420219196787,0,-0.0,0,0,1,0,0,0,0,0,0
3005FB63AC1F3681EC88155C73,1,-61.0,-61.0,-61.0,1581426580637581,1581426580637581,0,-0.0,1,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88141F34,9,-63.0,-59.5,-61.22222222222222,1581414106636214,1581414108395488,1759274,-0.02077227430537132,0,0,0,9,0,0,0,0,0
2005FB63AC1F3681AB1004E36869,4,-57.5,-52.5,-56.125,1581427723243763,1581427724051951,808188,-0.03746682369991252,2,2,0,0,0,0,0,0,0
3005FB63AC1F3681EC88131E23,2,-57.5,-57.0,-57.25,1581420884457773,1581420884571097,113324,-0.004366812227074236,2,0,0,0,0,0,0,0,0
2005FB63EAC13681E5C6027B6869,1,-56.5,-56.5,-56.5,1581427723879049,1581427723879049,0,-0.0,0,1,0,0,0,0,0,0,0
2005FB63EAC13681E5C6028D29,3,-62.0,-61.0,-61.33333333333334,1581419787432079,1581419787951476,519397,-0.007685943273766821,0,0,3,0,0,0,0,0,0
3005FB63AC1F3681EC8811B073,4,-62.0,-58.5,-60.0,1581426582210257,1581426582892880,682623,-0.021245914639969936,4,0,0,0,0,0,0,0,0
2005FB63EAC13681E4EC0FEC21,5,-60.5,-56.0,-58.0,1581420972915484,1581420973840028,924544,-0.02557309823136436,5,0,0,0,0,0,0,0,0
90134BC1F1CE3781AEA1000531,5,-62.5,-55.5,-57.6,1581415047146662,1581415047747308,600646,-0.04473645391224002,0,0,0,5,0,0,0,0,0
E28068900000000018343B2367,2,-63.5,-62.0,-62.75,1581427757565577,1581427757757779,192202,-0.011952191235059759,0,0,2,0,0,0,0,0,0
2005FB63EAC13681E4EC0F4B25,4,-54.5,-51.0,-52.875,1581420217838945,1581420218367229,528284,-0.02352216163372624,4,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88132C72,2,-57.0,-56.0,-56.5,1581427389505558,1581427389570150,64592,-0.008849557522123894,2,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC88141F26,6,-59.5,-55.5,-57.0,1581420118064297,1581420119096425,1032128,-0.024288373868181508,0,6,0,0,0,0,0,0,0
2005FB63EAC13681E4EC0F5023,2,-58.5,-58.5,-58.5,1581420884087859,1581420884167869,80010,-0.0,2,0,0,0,0,0,0,0,0
3005FB63AC1F3681EC8811B070,15,-61.0,-53.0,-57.93333333333333,1581427432254278,1581427434753880,2499602,-0.0363261084411153,2,2,11,0,0,0,0,0,0
